rated,starting_minutes,additional_seconds,white_rating,black_rating,moves,opening_eco,opening_name,opening_ply,winner
False,15,2,1500,1191,d4_d5_c4_c6_cxd5,D10,Slav_Defense_Exchange_Variation,5,white
True,5,10,1322,1261,d4_Nc6_e4_e5,B00,Nimzowitsch_Defense_Kennedy_Variation,4,black
True,5,10,1496,1500,e4_e5_d3,C20,Kings_Pawn_Game_Leonardis_Variation,3,white
True,20,0,1439,1454,d4_d5_Nf3,D02,Queens_Pawn_Game_Zukertort_Variation,3,white
True,30,3,1523,1469,e4_e5_Nf3_d6_d4,C41,Philidor_Defense,5,white
True,10,0,1520,1423,d4_d5_e4_dxe4_Nc3_Nf6_f3_exf3_Nxf3_Nc6,D00,Blackmar-Diemer_Gambit_Pietrowsky_Defense,10,white
False,15,30,1413,2108,e4_Nc6_d4_e5_d5,B00,Nimzowitsch_Defense_Kennedy_Variation_Linksspringer_Variation,5,black
True,15,0,1439,1392,e4_e5_Bc4_Nc6_Nf3_Nd4,C50,Italian_Game_Schilling-Kostic_Gambit,6,black
True,10,0,1381,1209,e4_d5_exd5_Qxd5,B01,Scandinavian_Defense_Mieses-Kotroc_Variation,4,white
False,20,60,1381,1272,e3,A00,Vant_Kruijs_Opening,1,white
False,20,60,1381,1867,e4_e6_d4_d5_e5_c5_c3_Nc6_Nf3,C02,French_Defense_Advance_Variation_Paulsen_Attack,9,black
False,5,40,1381,1936,e4_e6_Nf3,C00,French_Defense_Knight_Variation,3,black
False,8,0,1381,1607,e4_e6,C00,French_Defense_2,2,black
False,15,15,1094,1141,e4_e5_Nf3_Nc6_Bc4_Nf6_Nc3_Bc5,C50,Four_Knights_Game_Italian_Variation,8,white
False,15,15,1141,1094,e4_e5_Nf3_Nc6_Bc4_Nf6_Ng5,C57,Italian_Game_Two_Knights_Defense_Knight_Attack,7,black
False,15,15,1094,1141,e4_e5_Nf3_Nc6_Bc4_Nf6_Nc3_Bc5,C50,Four_Knights_Game_Italian_Variation,8,black
False,15,16,1141,1094,e4_e5_Nf3_Nc6_Bc4_Nf6_Nc3_Bc5,C50,Four_Knights_Game_Italian_Variation,8,black
False,15,15,1094,1300,e4_e5_Nf3_d6_Bc4,C41,Philidor_Defense_3,5,black
False,11,0,1500,1094,d4_d5,D00,Queens_Pawn_Game,2,white
False,15,15,1094,1676,e4_e5_Nf3_Nc6_Bc4_h6,C55,Italian_Game_Anti-Fried_Liver_Defense,6,black
False,30,60,1094,1068,d4_e6,A40,Horwitz_Defense,2,white
False,15,5,1500,1094,e4_c5_Bc4,B20,Sicilian_Defense_Bowdler_Attack,3,white
True,10,0,1307,1106,c4_Nc6_Nc3_e5,A25,English_Opening_Kings_English_Variation_Reversed_Closed_Sicilian,4,white
True,10,0,1113,1423,e4_c5_d4,B21,Sicilian_Defense_Smith-Morra_Gambit_2,3,black
True,10,10,1078,1219,d4_d5_Nc3_Nf6,D01,Queens_Pawn_Game_Chigorin_Variation,4,white
True,10,10,1825,1079,e4_e5_Nf3_Nc6_d4_exd4_Bc4_Bc5,C45,Scotch_Game_Haxo_Gambit,8,white
True,10,10,1328,1038,d4_d5_Nc3_Nf6,D01,Queens_Pawn_Game_Chigorin_Variation,4,black
True,10,10,1056,1156,d4_d5_c4_c6,D10,Slav_Defense,4,black
True,10,10,1077,1148,d4_d5_c4_Nf6,D06,Queens_Gambit_Refused_Marshall_Defense,4,black
True,10,10,1358,1036,e4_c5_d4,B21,Sicilian_Defense_Smith-Morra_Gambit_2,3,black
True,10,10,1200,1002,e4_c5_Nf3_d6_Bb5+_Bd7,B52,Sicilian_Defense_Canal_Attack_Main_Line,6,black
True,10,10,1203,1019,e4_c5_Nf3,B27,Sicilian_Defense,3,white
False,15,3,1019,1500,d4_d5_c4_dxc4_e4_b5,D20,Queens_Gambit_Accepted_Central_Variation_Greco_Variation,6,black
False,18,0,1422,975,e4_c5_Bc4,B20,Sicilian_Defense_Bowdler_Attack,3,white
True,10,0,976,1832,d4_g6_e4_Bg7,B06,Robatsch_(Modern)_Defense,4,black
True,10,0,1569,978,d4_d5_e4_dxe4_Nc3_Nf6_f3_exf3_Nxf3_Bf5,D00,Blackmar-Diemer_Gambit_Tartakower_Variation,10,white
False,15,0,978,1500,d4_Nf6,A45,Indian_Game,2,black
False,15,0,1500,978,e4_c5_Nf3_d6_d4_cxd4_Nxd4_Nf6_Nc3_g6_Be3_Bg7_Bc4_O-O_f3_Nc6_Qd2,B77,Sicilian_Defense_Dragon_Variation_Yugoslav_Attack_Main_Line,17,white
False,30,30,2449,978,c4_e5_Nc3,A21,English_Opening_Kings_English_Variation_Reversed_Sicilian,3,white
False,5,5,1241,978,e4_c5_Nc3,B23,Sicilian_Defense_Closed_Variation,3,black
False,30,0,1500,978,e4_c5_d4,B21,Sicilian_Defense_Smith-Morra_Gambit_2,3,white
False,40,40,2443,978,e4_c5_Nf3_d6_d4_cxd4_Nxd4_Nf6_Nc3_g6_Be3_Bg7_f3_O-O_Qd2_Nc6_O-O-O,B76,Sicilian_Defense_Dragon_Variation_Yugoslav_Attack_Modern_Line,17,white
False,20,0,1500,978,e4_c5_d4,B21,Sicilian_Defense_Smith-Morra_Gambit_2,3,white
False,15,0,1500,978,e4_c5_Bc4,B20,Sicilian_Defense_Bowdler_Attack,3,white
False,15,0,978,1500,e4_d5,B01,Scandinavian_Defense,2,black
False,10,0,1343,978,e4_c5_Bc4,B20,Sicilian_Defense_Bowdler_Attack,3,white
False,40,40,2436,978,e4_c5_Nf3_d6_d4_cxd4_Nxd4_Nf6_Nc3_g6_Be3_Bg7_f3_O-O_Qd2_Nc6_Bc4,B77,Sicilian_Defense_Dragon_Variation_Yugoslav_Attack_Main_Line,17,white
False,40,40,2436,978,e4_d5_exd5_Qxd5,B01,Scandinavian_Defense_Mieses-Kotroc_Variation,4,white
False,10,0,978,1500,d4_e6_e4,C00,French_Defense_Normal_Variation,3,black
False,10,0,1500,978,e4_e5_d4_d5,C21,Kings_Pawn_Game_Beyer_Gambit,4,white
False,10,0,978,1500,d4_f5,A80,Dutch_Defense,2,white
False,10,0,1500,978,c4_e5,A20,English_Opening_Kings_English_Variation,2,black
True,16,0,1521,1162,Nf3_e5,A04,Zukertort_Opening_Ross_Gambit,2,white
True,6,10,1407,1500,e4_c5_Nc3,B23,Sicilian_Defense_Closed_Variation,3,white
True,10,0,1492,1458,e4_e5_a3_Nf6_Nc3,C26,Vienna_Game_Mengarini_Variation,5,white
True,10,0,1414,1442,e4_e5_Nf3_d6_d4_exd4_Nxd4_g6,C41,Philidor_Defense_Larsen_Variation,8,black
True,10,0,1457,1294,e4_e5_Nf3_Nc6_d4,C44,Scotch_Game,5,black
True,10,0,1525,1466,e4_e5_Nf3_d6_Bc4_f5,C41,Philidor_Defense_Lopez_Countergambit,6,white
True,8,10,1207,1579,e4_e6_Nf3,C00,French_Defense_Knight_Variation,3,black
True,8,12,1567,1573,d4_g6,A40,Modern_Defense,2,white
True,8,12,1578,1605,d4_e6,A40,Horwitz_Defense,2,black
True,8,12,1939,1581,d4_Nf6_c4_e6_Nf3_c5,E10,Blumenfeld_Countergambit_2,6,white
True,5,10,1618,1568,e4_e6,C00,French_Defense_2,2,black
True,7,12,1755,1574,Nf3_g6,A04,Zukertort_Opening_Kingside_Fianchetto,2,white
True,15,10,1561,1596,d4_Nf6,A45,Indian_Game,2,white
True,5,40,1500,1554,e4_e6_Nc3,C00,French_Defense_Queens_Knight,3,black
True,15,5,1544,1461,d4_d5_Bf4,D00,Queens_Pawn_Game_Mason_Attack,3,white
True,20,5,1563,1335,d4_d5_Bf4,D00,Queens_Pawn_Game_Mason_Attack,3,black
True,20,5,1579,1470,d4_d6,A41,Queens_Pawn,2,black
True,20,5,1617,1590,d4_Nf6,A45,Indian_Game,2,white
