id,rated,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
TZJHLljE,FALSE,white,15+2,bourgris,1500,a-00,1191,d4 d5 c4 c6 cxd5,D10,Slav Defense: Exchange Variation,5
l1NXvwaE,TRUE,black,5+10,a-00,1322,skinnerua,1261,d4 Nc6 e4 e5,B00,Nimzowitsch Defense: Kennedy Variation,4
mIICvQHh,TRUE,white,5+10,ischia,1496,a-00,1500,e4 e5 d3,C20,King's Pawn Game: Leonardis Variation,3
kWKvrqYL,TRUE,white,20+0,daniamurashov,1439,adivanov2009,1454,d4 d5 Nf3,D02,Queen's Pawn Game: Zukertort Variation,3
9tXo1AUZ,TRUE,white,30+3,nik221107,1523,adivanov2009,1469,e4 e5 Nf3 d6 d4,C41,Philidor Defense,5
MsoDV9wj,FALSE,draw,10+0,trelynn17,1250,franklin14532,1002,e4 c5 Nf3 Qa5,B27,Sicilian Defense: Mongoose Variation,4
qwU9rasv,TRUE,white,10+0,capa_jr,1520,daniel_likes_chess,1423,d4 d5 e4 dxe4 Nc3 Nf6 f3 exf3 Nxf3 Nc6,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10
RVN0N3VK,FALSE,black,15+30,daniel_likes_chess,1413,soultego,2108,e4 Nc6 d4 e5 d5,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
dwF3DJHO,TRUE,black,15+0,ehabfanri,1439,daniel_likes_chess,1392,e4 e5 Bc4 Nc6 Nf3 Nd4,C50,Italian Game: Schilling-Kostic Gambit,6
afoMwnLg,TRUE,white,10+0,daniel_likes_chess,1381,mirco25,1209,e4 d5 exd5 Qxd5,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
HgKLWPsz,FALSE,white,20+60,daniel_likes_chess,1381,anaissac,1272,e3,A00,Van't Kruijs Opening,1
Vf5fKWzI,FALSE,black,20+60,daniel_likes_chess,1381,subham777,1867,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3,C02,French Defense: Advance Variation |  Paulsen Attack,9
HRti5mKv,FALSE,black,5+40,daniel_likes_chess,1381,roman12342005,1936,e4 e6 Nf3,C00,French Defense: Knight Variation,3
2fEjSei6,FALSE,black,8+0,daniel_likes_chess,1381,alkhan,1607,e4 e6,C00,French Defense #2,2
u7i6dOaJ,FALSE,white,15+15,shivangithegenius,1094,sureka_akshat,1141,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5,C50,Four Knights Game: Italian Variation,8
guanvMR5,FALSE,black,15+15,sureka_akshat,1141,shivangithegenius,1094,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5,C57,Italian Game: Two Knights Defense |  Knight Attack,7
