id,rated,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,minutes
sca1xK3a,True,white,10+0,laughingman22,1633,ttb,1550,e4 e5 Nf3 Nc6 Bb5 d6 O-O a6 Ba4 Nf6,C79,Ruy Lopez: Morphy Defense |  Steinitz Deferred,10,10
khJOZetm,False,white,15+0,ranko898,2065,superhero098,1976,e4 c5 c3 e5 d4 cxd4,B21,Sicilian Defense: Smith-Morra Gambit Declined |  Center Formation,6,15
UXAzyMAQ,True,white,25+10,u_durucay,1689,mehmetali_t,1556,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6,C45,Scotch Game: Schmidt Variation,8,25
jgOoHzON,True,white,30+30,physicsgaming,1779,guru200773,1725,e4 c5 Nf3 d6 c3,B50,Sicilian Defense: Delayed Alapin,5,30
3hCqoDif,True,white,11+11,saitama_opm,1803,deeena,1934,e4 d6 d4 Nf6 Nc3 g6 Be2 Bg7 Nf3 c6 O-O O-O,B08,Pirc Defense: Classical Variation |  Quiet System |  Czech Defense,12,11
N8BHKGxI,False,white,15+0,larevanche,1545,howdoichess96,1708,d4 Nf6,A45,Indian Game,2,15
yWy0Xrdz,False,white,15+15,thefrenchtactics,1365,chirimoyatriste,1132,e4 e5 Bc4,C23,Bishop's Opening,3,15
FvD4xF8P,True,white,15+0,learner0011,1613,jeffersondarcy1,1535,d4 Nf6 c4 d5 Nc3 c6 Nf3,D15,Slav Defense: Three Knights Variation,7,15
qCgH9cId,True,black,10+0,bocadagod,1610,toxigen88,1750,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 f4 O-O Nf3 c5 d5,E76,King's Indian Defense: Four Pawns Attack |  Dynamic Attack,13,10
x0M9UzvX,True,black,15+15,skipskipskop,914,hill_j,1141,a4,A00,Ware Opening,1,15
e5E8qqz5,True,black,15+15,babblingboy,1381,keoribeiro1,1401,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5,C57,Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation,8,15
6m6ZIIyl,True,white,15+0,sabotage_91,1309,evan_h1234,1347,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3,15
oIoPcbix,True,white,15+0,dhernandez101,1424,musel,1373,e4 e5 Nf3 d6 Bc4,C41,Philidor Defense #3,5,15
upN6B2c0,False,white,10+15,lance5500,2621,chessmageddon,2206,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bc4,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11,10
HZtUrlrB,True,white,10+0,mabe48b,1624,shadowdatsas,1576,e4 c5 Nf3 d6,B50,Sicilian Defense,4,10
am8laOKa,True,white,15+0,mathu21345,1494,aksoy,1439,e4 e5 Nf3 Nf6 Nxe5 Nxe4,C42,Russian Game: Damiano Variation,6,15
I4fldAKr,False,white,10+0,trainingformasters,2206,generationx,1640,e4 e5 f4,C30,King's Gambit,3,10
tHqhvSx6,True,black,20+5,consilius,1403,mohammad_baharan,1387,c4 e5 e4,C20,English Opening: The Whale,3,20
xhjvReVc,False,white,10+0,laurent137,1513,mimirilinguis,1026,d4 e6,A40,Horwitz Defense,2,10
y2fV8bHp,True,white,15+0,chess-brahs,2023,arda2828,1671,Nf3 e6,A04,Zukertort Opening: Queen's Gambit Invitation,2,15
tOquIbKK,False,white,10+0,tux09,1536,jubotelho,1500,e4 e5 Nf3 d6 Bc4 Be7,C41,Philidor Defense #4,6,10
6JVTSSMV,True,black,10+0,giosav,1902,fabian1104,1886,e4 Nf6 e5 Nd5 c4,B02,Alekhine Defense: Two Pawn Attack,5,10
vfqEWqq6,True,white,10+0,techhelpstew,1948,madd_hatter,1508,e4 d6 f4,B07,Rat Defense: Harmonist,3,10
9MssW8u9,True,white,15+2,saeed65,1704,alenka1c,1510,Nf3 d5,A06,Reti Opening,2,15
gjymvZn3,True,white,45+45,angborxley,1423,nitin123,1182,e4 e5 Nf3,C40,King's Knight Opening,3,45
AHcc7Oy2,True,white,10+0,gargoris,1581,egor_korsakov,1690,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d4 exd4 cxd4,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,11,10
AYVnWxQU,True,white,10+0,hebi,1330,caueaguiar,1278,e4 e5 Nf3 d6,C41,Philidor Defense #2,4,10
RvwKU5Jg,False,white,15+0,conormac,1335,minecraftbook,1237,e4 e5 Nf3 Nf6 Nc3,C42,Russian Game: Three Knights Game,5,15
0vSN6TVh,True,black,10+0,artem555,1582,crisis2016,1590,e4 e5 Nf3 d6,C41,Philidor Defense #2,4,10
vkZBrEUA,False,black,10+6,magnus_dong,1500,janfrode,1693,c4 e5 Nc3,A21,English Opening: King's English Variation |  Reversed Sicilian,3,10
rtHn8YWk,True,black,10+0,gjant,1624,chesskhovtsev,1621,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 Bd3,C42,Russian Game: Millennium Attack,9,10
um6Vt47x,True,black,10+0,majstor2650,1711,elprofe,1759,e4 g6,B06,Modern Defense,2,10
UVmS3x7q,True,black,20+0,aggelos81,1440,schlendryan,1553,d4 Nf6 c4 g6 Nc3 d5 Bg5 Bg7 Nf3,D91,Gruenfeld Defense: Three Knights Variation |  Petrosian System,9,20
zKdS3Xxj,True,white,15+15,toan798,1533,vladimir_shindin,1456,e4 e5 Nf3 Nc6 Bb5 Nf6,C65,Ruy Lopez: Berlin Defense #2,6,15
g2lUIoKU,True,white,10+0,bruce7x7,1788,kishomat,1868,g3 e6 Bg2 d5,A00,Hungarian Opening: Catalan Formation,4,10
yc7suCxP,True,white,16+20,erdem2008,1314,clash_royale,1571,e4 e5 Bc4 Nc6 Nf3 Nd4,C50,Italian Game: Schilling-Kostic Gambit,6,16
YV1XCOYx,True,black,30+1,pmeath,1235,fandm-lancaster,1246,e4 e5 Nf3 Nf6 Nxe5,C42,Petrov's Defense #2,5,30
YStA7ns9,False,black,25+17,trx,1149,motion,1672,d4 d5 e4 dxe4 Nc3 Bf5,D00,Blackmar-Diemer Gambit: Zeller Defense,6,25
7SvCANan,True,white,15+14,toni4127,1886,phriidbst,1737,d4 g6,A40,Modern Defense,2,15
jlXnFiTF,False,draw,10+0,ilnazgil,1475,brandonbos,1480,e4 e5 Nf3 Nc6 d4 exd4 Nxd4,C45,Scotch Game,7,10
hjYXZmey,True,black,15+0,nomatter9230,1705,meisam71,1737,e4 e5 Nf3 d6 d4 exd4 Nxd4,C41,Philidor Defense: Exchange Variation #2,7,15
dGJ8WJC0,True,draw,10+0,aaaaaaaddd,1800,vopaev,1881,d4 d5 c4 e6 Nc3,D31,Queen's Gambit Declined: Queen's Knight Variation,5,10
bCVL4bZl,True,black,10+0,trotil45,1614,taranga,1238,d4 d5 Bf4 Nf6 Nf3,D02,Queen's Pawn Game: London System,5,10
3ou3eN2K,False,black,10+0,hasiara,1314,brandonbos,1480,e4 e5 d3,C20,King's Pawn Game: Leonardis Variation,3,10
sY5VsCgM,True,white,10+5,instriker,1641,avto-cheishvili,1643,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3,10
0zhnlKaU,True,black,10+0,atakan0016,1786,thehutchtouch,1900,e4 c5 f4,B21,Sicilian Defense: McDonnell Attack,3,10
ktZlgeg4,True,white,10+0,pensioner7,2016,bobc,2032,d4 Nf6 Bg5,A45,Trompowsky Attack,3,10
r3uqvH3q,True,white,10+0,sugarmike,1890,ihor2526,1959,Nf3 f5,A04,Zukertort Opening: Dutch Variation,2,10
O3LSjqLN,True,white,10+0,karasuki,1349,hasan_al-banna,1419,e4 e5 Nf3 Nc6 Nc3 Nf6 Bc4,C46,Four Knights Game: Italian Variation,7,10
JljrmgKh,True,black,15+5,xilften1,2076,rb52,2035,e4 d6 d4 Nf6 Nc3 g6,B07,Pirc Defense #3,6,15
Pl6cZkHn,False,white,10+0,atmriz,955,lkasperbauer,1038,d4 e5,A40,Englund Gambit,2,10
836TK7tY,False,white,30+0,mathu21345,1592,hm01,1500,e4 d5 exd5 Qxd5,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,30
GrqcLH8a,True,black,20+5,samuelpro,1072,falsus,1625,d3,A00,Mieses Opening,1,20
KgAxVHBG,False,white,15+0,xxofficialmasterxx,1866,zeyadyasser,1500,e4 e5 Nf3 Nf6 Nxe5,C42,Petrov's Defense #2,5,15
L6Jc8r3W,True,black,20+0,vlad1956,1642,zhaska,1685,e4 e5 Bc4 Nf6 Nf3 Nc6 Nc3 Bc5,C50,Four Knights Game: Italian Variation,8,20
JWc01uVo,True,black,30+10,dullard,1857,eie24,2084,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3,30
PZgoClrN,True,white,10+0,jg2017,1611,paulo577,1539,d4 Nf6,A45,Indian Game,2,10
mPrLFfZ9,False,white,45+45,thebadfish,1973,crraii,1810,d4 f5 e4 fxe4,A82,Dutch Defense: Staunton Gambit Accepted,4,45
U9rISFOP,True,white,10+15,arunava10,1522,andr3a,1627,d4 Nf6 c4 g6 Nc3 Bg7 e4,E70,King's Indian Defense: Normal Variation,7,10
pxeluFBd,True,white,10+0,bear789,1372,khaled000emad,1343,Nf3 e6,A04,Zukertort Opening: Queen's Gambit Invitation,2,10
Prg9C0BE,True,black,10+0,viktor-1977,1187,crazyscientist1,845,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3,10
z8EM9V2v,False,white,15+5,gjdgjdfj,1766,dumb_robot,1218,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be3,B90,Sicilian Defense: Najdorf Variation |  English Attack,11,15
6IFsdQvO,True,black,15+1,tharmarajah,1349,arturfritz,1486,e4 e5 Nf3 Nc6,C44,King's Knight Opening: Normal Variation,4,15
Z9HpCF52,True,black,11+3,trickysuperfreak,1231,scardanelli,1162,e4 e5 Nf3 d6,C41,Philidor Defense #2,4,11
gdsmyV4C,True,white,10+0,aleksander10032007,1439,arbee3,1341,e4 Nf6 Nc3 e5 Nf3,C42,Russian Game: Three Knights Game,5,10
oxftQMFt,True,draw,10+0,may12345,1290,bigbrother101,1295,e3,A00,Van't Kruijs Opening,1,10
QuPE0D5e,True,black,11+0,salosalo1,1240,yur-koto,1602,e4 c5,B20,Sicilian Defense,2,11
vzNmDgil,True,white,12+8,madarsani,1465,kevchod,1472,e4 c5,B20,Sicilian Defense,2,12
mIgTK3WY,True,black,15+15,dnpnz,1434,cape217,1383,d4 Nf6,A45,Indian Game,2,15
RZi9dRaF,True,white,10+6,lolmens,2153,mindworm,2168,e4 e5 Nf3 Nf6 Nxe5 d6 Nf3 Nxe4 d4,C42,Russian Game: Classical Attack,9,10
nDKoDOCM,True,black,180+180,maxgy,970,quantumninja,1065,e4 e6,C00,French Defense #2,2,180
BoUWdwT1,True,white,15+15,gudimov,1507,arnomass,1445,e4 c5 Nf3 Nc6,B30,Sicilian Defense: Old Sicilian,4,15
9QExuXjM,True,black,15+15,tidalbutt,1429,james225,1432,e4 g6,B06,Modern Defense,2,15
LbMbOCeB,True,white,10+0,kn89,1517,femull33,1496,e4 e5 Nf3 Nc6 Nc3 Bb4,C46,Three Knights Opening #2,6,10
7KILOwPe,True,black,10+0,diegovan411,1432,mistershy,1493,e4 e5 d3,C20,King's Pawn Game: Leonardis Variation,3,10
4h5pgEPz,False,draw,10+10,chess-brahs,1990,factionmaster,1447,Nf3 g6,A04,Zukertort Opening: Kingside Fianchetto,2,10
sFonRNXE,True,white,15+15,totonut,1728,sercanx,1681,e4 d6 d4 Nf6 Nc3 g6 Nf3 Bg7 h3,B08,Pirc Defense: Classical Variation |  Schlechter Variation,9,15
glk9SiIG,True,black,10+0,reza-kondazi,1920,tori92,2087,d4 d5 Nf3 Nf6 g3,D02,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,5,10
DAFVeEoZ,True,white,10+0,rodolo,1539,viswannabe,1178,e4 e5 Nf3 Nc6 Bc4 Bc5 d3,C50,Italian Game: Giuoco Pianissimo,7,10
LyrcFrlE,True,white,10+0,piley159,1201,mimik29,1180,e4 e5 Nf3 Nc6 d4,C44,Scotch Game,5,10
wRQvhLAc,True,white,10+0,knightlight_mdk,1528,evgeniy202,1544,e4 e5 Bc4,C23,Bishop's Opening,3,10
Pp47gLSy,False,white,10+10,chesswhiz,1822,kurtbusch,1431,e4 e5 f4 exf4 Nf3 Nc6,C34,King's Gambit Accepted |  MacLeod Defense,6,10
R4nwol9S,False,white,18+5,williamyen,1500,dregassa,1500,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O Bc5 c3,C64,Ruy Lopez: Classical Variation |  Zukertort Gambit,9,18
iHadiBiU,True,white,10+0,atacante,1790,ur-ru,1594,e4 Nf6 e5 Nd5 c4,B02,Alekhine Defense: Two Pawn Attack,5,10
ghXEmcPf,True,black,20+7,dellinspiron25,1497,fingerblast,1820,c4 e5,A20,English Opening: King's English Variation,2,20
ydqF9Q1W,False,black,10+0,apervaiz,1567,axelpro446,1501,e4 e5 Nf3 Nc6 Bc4 Bc5,C50,Giuoco Piano,6,10
23q1DeHt,False,black,10+5,thecoolchiller,1149,hatterix,1503,e4 e5 Nf3 Nc6 Bc4 Bc5,C50,Giuoco Piano,6,10
i9vjEwuM,True,draw,15+10,xxcrunchypebblexx,1324,sudz53,1407,e4 Nc6 Nf3,B00,Nimzowitsch Defense |  Declined Variation,3,15
Ur0uJGc9,True,white,30+30,guru200773,1716,juantaka,1758,e4 e5 Nf3 Qf6,C40,King's Pawn Game: McConnell Defense,4,30
XFxpFHiZ,True,white,60+0,cnopm,1707,marcinkonopczynski,1542,e4 e5 Qf3,C20,King's Pawn Game: Napoleon Attack,3,60
39pqQYJt,True,black,10+10,voodooo,1309,rockeamos,1601,Nf3 g6,A04,Zukertort Opening: Kingside Fianchetto,2,10
MEBUMqmq,False,white,10+0,zeratulsh,1826,mobashi,1648,d4 g6,A40,Modern Defense,2,10
kniYYNCw,False,black,20+30,mr47,1583,freshkid,2203,d4 Nf6 Nf3 d5,D02,Queen's Pawn Game: Symmetrical Variation,4,20
UAuodnYK,True,black,10+0,chesspopper88,2018,minhyun,2053,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d4 exd4 cxd4,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,11,10
JJFqWGae,True,white,12+5,traced,2094,dofranck,2041,d4 d5 c4 dxc4 Nf3 Nf6 Nc3,D24,Queen's Gambit Accepted: Showalter Variation,7,12
0WUOwfrw,True,black,20+40,ivanbus,1334,katana_blade,1253,e4 Nc6 Nf3 e5 d4,C44,Scotch Game,5,20
A7ddojjI,True,draw,15+5,isachess,1866,claudiucojo,1835,e4 e5 Nf3 Nc6 Bc4 Nf6 d3,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7,15
H0GD89TN,True,white,15+0,shage,1312,lextop,1298,b3 d5,A01,Nimzo-Larsen Attack: Classical Variation,2,15
4XBssZXD,True,white,15+15,f1v3,1543,maluking,1614,e4 e5 Nf3 d6,C41,Philidor Defense #2,4,15
R9tfi1qe,True,black,10+0,lynosbc,1235,jesteroz,1272,e3,A00,Van't Kruijs Opening,1,10
5ajFuLhq,True,black,12+0,malatestabr,1625,dumbluck,1500,e4 Nc6 d4 e5 d5,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5,12
HA3cvmdT,True,draw,10+0,zapala,1540,majid509,1543,e4 d5 exd5 Qxd5,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,10
pWwB7D2m,False,white,10+0,flafel26,1589,raslan20214,1255,e4 e5 Nf3 d6 Bc4,C41,Philidor Defense #3,5,10
DAXqflAS,True,white,10+0,dmitrykol,1599,tangela,1631,d4 Nf6 Nf3 e6 Bf4,A46,Indian Game: London System,5,10
YQWa7tmr,False,white,15+0,alemiha,1500,davidc87,1260,e4 e5 Nf3 Nc6 Bb5 Bc5 c3,C64,Ruy Lopez: Classical Variation |  Central Variation,7,15
FlZFwsHu,True,black,10+0,mazpharaoh,1506,ashokvsaste,1321,d4 d5 Nc3,D00,Queen's Pawn Game: Chigorin Variation,3,10
VjrTwpKb,False,white,10+0,singyoursong42,2015,ogeldi,1793,d4 g6,A40,Modern Defense,2,10
5X8JpWWw,False,white,10+0,axelpro446,1501,bamarillobiller,1199,e4 e5 Nf3 Nc6 Bc4 h6,C55,Italian Game: Anti-Fried Liver Defense,6,10
Ltkb6yOE,True,black,30+0,vladimir15,1696,hamed5058,1711,e4 e5 Nf3 Nc6 d4 exd4 Nxd4,C45,Scotch Game,7,30
Bpxy3aiD,True,white,10+0,aristokrat2192,2084,antao_amory,1721,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2,E91,King's Indian Defense: Orthodox Variation,11,10
kNiqoFJx,True,white,180+0,chiggen,1417,drakon1,861,e3,A00,Van't Kruijs Opening,1,180
t1tIJRWX,True,black,10+0,whitnot,1912,traced,2316,b3 d5,A01,Nimzo-Larsen Attack: Classical Variation,2,10
FVSyVkjo,True,draw,60+5,dakotarain,1195,lile,1386,e4 e5,C20,King's Pawn Game,2,60
pMRPi49F,True,white,30+0,vovkakuz,1518,pavelua,1762,e4 e5 Nf3 Nc6 d4 exd4 Nxd4,C45,Scotch Game,7,30
45qOguIT,True,white,10+0,landscaping123,1687,eugenio24,1691,d4 Nf6 c4 e6 Nf3 d5 e3 c6 Nc3 Nbd7 Bd3 Be7,D46,Semi-Slav Defense: Bogoljubov Variation,12,10
viulFwxu,True,black,10+0,sazed,2126,hamidic,1906,e4 c5 d4 cxd4 c3,B21,Sicilian Defense: Smith-Morra Gambit,5,10
Uep3ZGfD,True,white,10+0,buglkraxnseppl,1778,kellyclarkson,1349,e4,B00,King's Pawn,1,10
c8bY12Pd,True,black,15+0,sarthakmanna,1776,ss7gowda,1759,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3,15
vUonYJYn,True,black,10+0,ashpak,1140,viswannabe,1129,e4 e5 Nf3 Nc6 Bc4 h6,C55,Italian Game: Anti-Fried Liver Defense,6,10
LDzlqlwv,True,white,10+0,runcrazex,2230,inerrant,1929,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5,C45,Scotch Game: Classical Variation,8,10
J9wpsS4u,True,black,10+0,lawrenman,1754,hpustela,1263,d4 e6,A40,Horwitz Defense,2,10
9sDMZpQz,True,black,10+0,quant,1652,docboss,1622,d4,A40,Queen's Pawn,1,10
e7lWJcnK,True,draw,10+0,jorgeluis08,1733,chessfishers,1833,e4 c5 Nf3 e6,B40,Sicilian Defense: French Variation,4,10
G6VKivDE,True,white,10+0,nullbyte,1707,yasutora,1637,d4 d5 c4 c6 Nc3,D10,Slav Defense #2,5,10
FuOzm69e,False,black,10+0,joanb,1429,gijoel749,1916,e4 c5 Nf3 d6 Nc3 Nf6 d4 cxd4 Nxd4 g6,B70,Sicilian Defense: Dragon Variation,10,10
FOFxpPSy,True,black,10+0,masterzyd,1295,will_sun,1226,e4 e5 Qh5,C20,King's Pawn Game: Wayward Queen Attack,3,10
pTSGjzsp,True,white,10+0,paul91,1786,nik_ulaa,1816,d4 Nf6 c4 g6 Nf3 Bg7 Nc3 d5 Bg5,D91,Gruenfeld Defense: Three Knights Variation |  Petrosian System,9,10
osPCRdxJ,True,white,30+0,tb-123,1720,oldpaths,1579,e4 e6 Qe2,C00,French Defense: Chigorin Variation,3,30
ZNEni4Xk,False,white,10+0,plausibletheory,1831,tupy,1733,c4 Nf6 Nf3 e6 g3 d5,A13,English Opening: Neo-Catalan,6,10
A1sCoxa2,True,white,10+0,hus1972,1609,nailjafarov,1754,e4 e5 Nf3 Nc6 Bb5 Nf6,C65,Ruy Lopez: Berlin Defense #2,6,10
Pv6R38bQ,True,white,15+10,amirhossein2014,1701,mert2006,1821,e4 e5 Nf3 Nc6 Nc3 Nf6 d4,C47,Four Knights Game: Scotch Variation,7,15
kvNkKzzz,True,black,15+2,reubpear,1657,desumark,1644,d4 d5 Bf4,D00,Queen's Pawn Game: Mason Attack,3,15
C3aPNB4q,True,black,15+14,toni4127,1873,napoleon22,1574,d4 Nf6 c4 e5 dxe5 Ng4 Nf3,A52,Budapest Defense: Adler Variation,7,15
1A3fGCEC,True,black,10+0,killerveee,1296,littlekitty83,1120,d4 Nf6 f3,A45,Paleface Attack,3,10
lwnQteDU,False,black,10+25,lance5500,2621,koryakinrus,1715,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 Bc5 Bxf7+,C57,Italian Game: Two Knights Defense |  Traxler Counterattack |  Bishop Sacrifice Line,9,10
sIub43Gy,True,black,10+0,adatene,1641,semis,1638,e4 e5 Nf3 Nc6 d4 exd4 Nxd4,C45,Scotch Game,7,10
qB2ZfXdc,False,black,13+0,anakgreget,1671,madleotindas,1500,e4 e5 Nf3,C40,King's Knight Opening,3,13
8L3LPAZ2,True,black,20+20,drunkenfluteplayer,1349,iqfranta,1653,Nf3 e6 e4,C00,French Defense: Knight Variation,3,20
IhPROx4l,True,black,10+3,coco31,1154,fischerdipper,1676,d3,A00,Mieses Opening,1,10
NNfIxgAP,True,draw,10+0,engm,1727,fourtwenty,1535,c4 c5 Nc3 Nc6 g3,A36,English Opening: Symmetrical Variation |  Fianchetto Variation,5,10
jD3UqCHi,True,draw,10+0,legolas1973,1815,jhonthoth,1904,e4 e6 d4 d5 exd5,C01,French Defense: Exchange Variation,5,10
KAYHgLSs,True,black,10+0,radiomaryjak,1974,erdugliano71,1929,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Nc6,B44,Sicilian Defense: Paulsen Variation,8,10
mkJ2a2g4,True,black,10+0,tossinov,1826,elijahreese,1860,e4 e5 f4,C30,King's Gambit,3,10
DaH7VoPi,True,white,10+0,chez91,1515,th3or3tical,1503,e4 e5 Bc4 Bc5,C20,Bishop's Opening: Boi Variation,4,10
3OsAGS9G,True,black,10+0,mohamedn,1435,shakes,2042,d4 d5 Nf3 Nf6 e3,D04,Queen's Pawn Game: Colle System,5,10
HNxLOJUG,True,white,30+0,xxx3000,1248,chesswith666,1149,e4 d5,B01,Scandinavian Defense,2,30
9mCmLMHc,False,black,20+0,kreedome,1500,waltersobshak,1500,Nc3 e5,A00,Van Geet Opening: Reversed Nimzowitsch,2,20
Dos8AGqN,True,white,60+0,totosal,1563,kingcrazy99,1352,d4 Nf6,A45,Indian Game,2,60
kkdK88HT,True,white,10+0,bocadagod,1528,adelfas,1708,d4 d6 c4 Nf6,A53,Old Indian Defense,4,10
kbsDY87h,True,white,15+5,pashakombat,1531,e_boechat,1454,e4 e5 Nf3 d6 Bc4 Nf6 d4,C41,Philidor Defense: Nimzowitsch Variation |  Klein Variation,7,15
kqtrwYiF,True,black,35+8,noob47,1406,dayne,1525,e4 c6,B10,Caro-Kann Defense,2,35
zt9p4fBy,False,black,10+5,viktorr,1464,stockfish_level_0,1441,e4 c5 Nf3 g6,B27,Sicilian Defense: Hyperaccelerated Dragon,4,10
qbLpjE5V,True,black,15+5,kingcrazy99,1360,nunoabreu,1764,e4 e5 Nf3 Nc6 d4 exd4 Nxd4,C45,Scotch Game,7,15
kLQdMwN1,True,draw,10+0,vlada555,1862,nullbyte,1698,d4,A40,Queen's Pawn,1,10
U2B1HB4H,False,white,15+0,chesslearningpro,1621,enricolord,1176,c4 e5 e4,C20,English Opening: The Whale,3,15
Sm9cj3fR,True,white,17+1,qitcj,1172,businessman47,1122,e4 e5 Nf3 Bc5,C40,King's Pawn Game: Busch-Gass Gambit,4,17
iJh0yeE8,True,white,10+0,jagole,1286,philipp_0x,1276,e4 e5 Nc3 Nc6 Nf3 g6,C46,Three Knights Opening: Steinitz Defense,6,10
CMDJgho0,True,white,10+10,aka121,1823,rocky19,1686,d4 d5 c4 c6 Nc3 e6,D31,Semi-Slav Defense: Accelerated Move Order,6,10
g1lE2ipE,True,white,10+0,amithchess,1560,casertaone,1578,e4 e6 Nf3,C00,French Defense: Knight Variation,3,10
lYZ4gqba,True,black,10+0,chiefjab,1504,josip111,1578,e4 e5 Nf3 d6 Bc4,C41,Philidor Defense #3,5,10
Fi2wlxrJ,False,white,10+0,arissa,1082,brandonbos,1480,e4 e5 Nf3 Nc6 Bb5 d6,C62,Ruy Lopez: Steinitz Defense,6,10
2yn3lJpU,True,black,15+10,lippurro,1633,irishman012,1658,e4 c5 Bc4,B20,Sicilian Defense: Bowdler Attack,3,15
gGQ2yIwa,True,white,10+0,inmea5urab1e,1776,aleph6,1632,d4 d5 Nf3 c5,D02,Queen's Pawn Game: Krause Variation,4,10
2MZgnZTe,True,white,10+0,smopet,1677,zynko,1508,e4 e5 d4 exd4 c3 dxc3 Bc4 cxb2 Bxb2,C21,Danish Gambit Accepted,9,10
L6gp9rkg,True,white,10+0,lahayejose012,1675,txemanski,1654,d4 Nf6 Nf3 b6,A47,Queen's Indian Defense,4,10
kjXLgrTp,True,white,10+0,e4jaque,1660,egor_korsakov,1685,e4 e5 c4,C20,English Opening: The Whale,3,10
joPiozQn,True,black,10+0,gluho,1531,loukas435,1822,d3,A00,Mieses Opening,1,10
JHPufzRb,True,black,20+5,gorik04,1422,theshelton,1641,e3,A00,Van't Kruijs Opening,1,20
cLPw8kPT,True,black,10+0,gagomanuk71,1986,fabian1104,2059,e4 c5 f4,B21,Sicilian Defense: McDonnell Attack,3,10
nruWdR20,False,white,20+0,sistla,1738,kostastop1526,1559,e4 e6 d4 d5 e5 c5 c3 Qb6 Nf3 Nc6 Bd3,C02,French Defense: Advance Variation |  Milner-Barry Gambit,11,20
MdkQt2T6,False,black,10+4,zeppo,1596,brahim333,2131,d4 e6 c4 Nf6 Nc3 Bb4,E20,Nimzo-Indian Defense,6,10
xXnLtAFv,False,black,10+0,axelpro446,1501,castro830,1511,e4 e5 Nf3 d6 Bc4,C41,Philidor Defense #3,5,10
UFkXswno,True,black,10+0,ceve,1529,raskoinikov,1247,e4 c6,B10,Caro-Kann Defense,2,10
3zUeArOl,True,white,10+0,diz_stack,1344,snaek161616,1500,e4 c5 Nf3 d6,B50,Sicilian Defense,4,10
